=== bench . ===
goos: linux
goarch: amd64
pkg: github.com/axonops/audit
cpu: AMD Ryzen 9 7950X 16-Core Processor            
18014205	        74.27 ns/op	      77 B/op	       1 allocs/op
BenchmarkMiddleware-32                                     	  829802	      1589 ns/op	    2339 B/op	      16 allocs/op
BenchmarkMiddleware-32                                     	BenchmarkLokiOutput_BatchBuild-32        	   10597	    107136 ns/op	  266323 B/op	     390 allocs/op
BenchmarkLokiOutput_BatchBuild-32        	    9914	    102433 ns/op	  266325 B/op	     390 allocs/op
BenchmarkLokiOutput_BatchBuild-32        	  789759	      1518 ns/op	    2338 B/op	      16 allocs/op
BenchmarkMiddleware-32                                     	   10000	    110494 ns/op	  266326 B/op	     390 allocs/op
BenchmarkLokiOutput_BatchBuild-32        	  794617	      1550 ns/op	    2337 B/op	      16 allocs/op
BenchmarkMiddleware-32                                     	   10000	    112356 ns/op	  266324 B/op	     390 allocs/op
BenchmarkLokiOutput_BatchBuild-32        	  796531	      1539 ns/op	    2339 B/op	      16 allocs/op
BenchmarkMiddleware-32                                     	   10000	    110249 ns/op	  266324 B/op	     390 allocs/op
  719763	      1546 ns/op	    2359 B/op	      16 allocs/op
BenchmarkLokiOutput_Gzip-32              	    4027	    295673 ns/op	 1069897 B/op	     381 allocs/op
BenchmarkLokiOutput_Gzip-32              	BenchmarkNewLogger_Construction-32                         	   34941	     33774 ns/op	   88680 B/op	      83 allocs/op
BenchmarkNewLogger_Construction-32                         	    3832	    318466 ns/op	 1069899 B/op	     381 allocs/op
BenchmarkLokiOutput_Gzip-32              	    3604	    320635 ns/op	 1069896 B/op	     381 allocs/op
BenchmarkLokiOutput_Gzip-32              	   36168	     33860 ns/op	   88689 B/op	      84 allocs/op
BenchmarkNewLogger_Construction-32                         	    3697	    334066 ns/op	 1069884 B/op	     381 allocs/op
BenchmarkLokiOutput_Gzip-32              	   36183	     34106 ns/op	   88686 B/op	      84 allocs/op
BenchmarkNewLogger_Construction-32                         	   35150	     33577 ns/op	   88685 B/op	      83 allocs/op
BenchmarkNewLogger_Construction-32                         	    3840	    323171 ns/op	 1069881 B/op	     381 allocs/op
2026/04/12 20:11:00 WARN audit: loki buffer full, events dropped dropped=1 buffer_size=100000
   34663	     34142 ns/op	   88682 B/op	      83 allocs/op
BenchmarkDeliverToOutputs_NoSensitivity-32                 	BenchmarkLokiOutput_MetadataWriter-32    	10952427	       109.7 ns/op	     183 B/op	       1 allocs/op
BenchmarkLokiOutput_MetadataWriter-32    	2026/04/12 20:11:01 WARN audit: loki buffer full, events dropped dropped=1 buffer_size=100000
 3178096	       340.7 ns/op	     253 B/op	       1 allocs/op
BenchmarkDeliverToOutputs_NoSensitivity-32                 	13892054	       104.1 ns/op	     183 B/op	       1 allocs/op
BenchmarkLokiOutput_MetadataWriter-32    	2026/04/12 20:11:03 WARN audit: loki buffer full, events dropped dropped=1 buffer_size=100000
 3188475	       349.8 ns/op	     254 B/op	       1 allocs/op
